,X,Y
0,20200101,1270.523257918552
1,20200102,1268.3965610859727
2,20200103,1258.8264253393666
3,20200104,1249.787963800905
4,20200105,1229.5843438914028
5,20200106,1198.7472398190046
6,20200107,1164.1884162895926
7,20200108,1150.8965610859727
8,20200109,1164.7200904977376
9,20200110,1193.4304977375566
10,20200111,1207.2540271493212
11,20200112,1192.3671493212669
12,20200113,1136.5413574660633
13,20200114,1083.3739366515838
14,20200115,1057.8535746606335
15,20200116,1059.9802714932127
16,20200117,1064.233665158371
17,20200118,1081.7789140271493
18,20200119,1111.020995475113
19,20200120,1144.5164705882353
20,20200121,1159.9350226244344
21,20200122,1145.04814479638
22,20200123,1103.5775565610859
23,20200124,1067.9553846153847
24,20200125,1069.550407239819
25,20200126,1086.5639819004525
26,20200127,1106.7676018099546
27,20200128,1116.8694117647058
28,20200129,1116.337737556561
29,20200130,1116.337737556561
30,20200131,1117.4010859728508
31,20200201,1125.3761990950227
32,20200202,1134.9463348416289
33,20200203,1142.9214479638008
34,20200204,1141.8580995475113
35,20200205,1138.6680542986426
36,20200206,1134.4146606334841
37,20200207,1128.5662443438914
38,20200208,1121.1228054298642
39,20200209,1113.1476923076923
40,20200210,1112.0843438914028
41,20200211,1118.4644343891403
42,20200212,1123.7811764705882
43,20200213,1120.5911312217195
44,20200214,1088.6906787330317
45,20200215,1047.2200904977376
46,20200216,1011.5979185520362
47,20200217,996.179366515837
48,20200218,997.2427149321268
49,20200219,998.837737556561
50,20200220,995.1160180995475
51,20200221,983.9508597285067
52,20200222,972.785701357466
53,20200223,961.6205429864253
54,20200224,950.4553846153847
55,20200225,939.8219004524888
56,20200226,933.4418099547511
57,20200227,936.6318552036198
58,20200228,947.2653393665157
59,20200229,951.5187330316742
60,20200301,935.5685067873303
61,20200302,898.8829864253394
62,20200303,862.7291402714932
63,20200304,859.5390950226245
64,20200305,883.4644343891403
65,20200306,918.5549321266967
66,20200307,949.9237104072397
67,20200308,976.5074208144797
68,20200309,1000.4327601809955
69,20200310,1022.2314027149321
70,20200311,1041.3716742081447
71,20200312,1058.3852488687783
72,20200313,1073.8038009049774
73,20200314,1085.5006334841628
74,20200315,1092.4123981900452
75,20200316,1097.1974660633484
76,20200317,1098.260814479638
77,20200318,1086.5639819004525
78,20200319,1074.8671493212669
79,20200320,1063.1703167420815
80,20200321,1053.600180995475
81,20200322,1045.6250678733031
82,20200323,1033.9282352941177
83,20200324,1011.0662443438914
84,20200325,977.0390950226245
85,20200326,944.075294117647
86,20200327,923.3399999999999
87,20200328,913.7698642533937
88,20200329,907.9214479638008
89,20200330,906.8580995475113
90,20200331,923.8716742081447
91,20200401,945.6703167420815
92,20200402,962.1522171945701
93,20200403,970.6590045248868
94,20200404,971.7223529411765
95,20200405,979.6974660633484
96,20200406,1004.154479638009
97,20200407,1046.1567420814479
98,20200408,1080.1838914027148
99,20200409,1082.8422624434388
100,20200410,1013.7246153846154
101,20200411,933.9734841628958
102,20200412,888.7811764705882
103,20200413,896.7562895927601
104,20200414,923.3399999999999
105,20200415,950.9870588235294
106,20200416,974.9123981900452
107,20200417,996.179366515837
108,20200418,1016.3829864253394
109,20200419,1030.7381900452488
110,20200420,1037.6499547511312
111,20200421,1044.0300452488686
112,20200422,1048.8151131221719
113,20200423,1052.0051583710408
114,20200424,1054.1318552036198
115,20200425,1055.1952036199095
116,20200426,1046.1567420814479
117,20200427,1034.4599095022625
118,20200428,1022.7630769230768
119,20200429,1023.8264253393666
120,20200430,1030.206515837104
121,20200501,1033.3965610859727
122,20200502,1019.0413574660633
123,20200503,982.3558371040724
124,20200504,943.0119457013575
125,20200505,925.9983710407239
126,20200506,936.1001809954751
127,20200507,961.6205429864253
128,20200508,975.9757466063347
129,20200509,969.5956561085973
130,20200510,948.3286877828054
131,20200511,925.4666968325791
132,20200512,898.3513122171946
133,20200513,866.4508597285067
134,20200514,839.3354751131221
135,20200515,836.6771040723982
136,20200516,887.7178280542987
137,20200517,907.2498594903548
138,20200518,918.9290732361321
139,20200519,891.7053846153847
140,20200520,865.1148578721429
141,20200521,830.2970135746606
142,20200522,805.3901218238775
143,20200523,785.0287524240466
144,20200524,785.6363800904977
145,20200525,941.416923076923
146,20200526,944.6069683257917
147,20200527,947.7970135746607
148,20200528,962.1522171945701
149,20200529,987.1409049773756
150,20200530,1015.8513122171946
151,20200531,1038.7133031674207
152,20200601,1042.9666968325791
153,20200602,1040.3083257918552
154,20200603,1036.0549321266967
155,20200604,1032.864886877828
156,20200605,1030.206515837104
157,20200606,1028.0798190045248
158,20200607,1029.1431674208145
159,20200608,1038.181628959276
160,20200609,1045.6250678733031
161,20200610,1044.5617194570136
162,20200611,1015.8513122171946
163,20200612,979.1657918552037
164,20200613,950.4553846153847
165,20200614,948.8603619909502
166,20200615,956.3038009049774
167,20200616,964.2789140271493
168,20200617,962.6838914027148
169,20200618,947.2653393665157
170,20200619,931.3151131221719
171,20200620,916.9599095022625
172,20200621,903.1363800904978
173,20200622,890.3761990950227
174,20200623,882.9327601809955
175,20200624,887.1861538461537
176,20200625,899.9463348416289
177,20200626,906.8580995475113
178,20200627,897.8196380090496
179,20200628,870.1725791855204
180,20200629,843.0571945701357
181,20200630,843.0571945701357
182,20200701,860.602443438914
183,20200702,882.9327601809955
184,20200703,888.7811764705882
185,20200704,874.4259728506788
186,20200705,848.9056108597285
187,20200706,828.1703167420815
188,20200707,830.2970135746606
189,20200708,839.8671493212669
190,20200709,854.2223529411765
191,20200710,878.1476923076923
192,20200711,913.2381900452488
193,20200712,948.8603619909502
194,20200713,951.5187330316742
195,20200714,928.1250678733031
196,20200715,892.5028959276017
197,20200716,868.5775565610859
198,20200717,866.9825339366516
199,20200718,871.2359276018099
200,20200719,879.7427149321268
201,20200720,897.2879638009049
202,20200721,925.9983710407239
203,20200722,947.2653393665157
204,20200723,945.1386425339367
205,20200724,903.6680542986426
206,20200725,861.1341176470587
207,20200726,846.7789140271493
208,20200727,856.3490497737557
209,20200728,876.0209954751131
210,20200729,894.0979185520362
211,20200730,907.389773755656
212,20200731,918.023257918552
213,20200801,927.5933936651584
214,20200802,926.5300452488686
215,20200803,921.2133031674207
216,20200804,914.3015384615385
217,20200805,902.0730316742081
218,20200806,884.5277828054298
219,20200807,869.6409049773756
220,20200808,865.9191855203619
221,20200809,904.1997285067873
222,20200810,954.1771040723982
223,20200811,985.0142081447964
224,20200812,979.1657918552037
225,20200813,945.1386425339367
226,20200814,912.1748416289593
227,20200815,899.4146606334841
228,20200816,902.0730316742081
229,20200817,907.389773755656
230,20200818,918.5549321266967
231,20200819,934.5051583710408
232,20200820,951.5187330316742
233,20200821,959.4938461538461
234,20200822,954.7087782805429
235,20200823,943.5436199095022
236,20200824,931.8467873303168
237,20200825,920.6816289592759
238,20200826,909.5164705882353
239,20200827,897.8196380090496
240,20200828,887.7178280542987
241,20200829,878.1476923076923
242,20200830,869.6409049773756
243,20200831,861.1341176470587
244,20200901,852.0956561085973
245,20200902,843.0571945701357
246,20200903,835.6137556561087
247,20200904,834.0187330316742
248,20200905,834.5504072398189
249,20200906,835.6137556561087
250,20200907,837.7404524886878
251,20200908,839.8671493212669
252,20200909,840.9304977375566
253,20200910,833.4870588235294
254,20200911,811.6884162895927
255,20200912,787.2314027149321
